Round,Factory_A_Loss,Factory_B_Loss,Factory_C_Loss,Avg_Client_Loss,Global_Test_MSE,Global_F1
1,0.021282937113048895,0.028538507527558255,0.018738884446892968,0.02285344302916671,1.3127782344818115,0.8832
2,0.013214033126693659,0.011857594517316165,0.013135227984008945,0.012735618542672923,1.3111099004745483,0.8832
3,0.011497419909866838,0.011082674832221662,0.011590279070109222,0.011390124604065908,1.3110313415527344,0.8832
4,0.009799759234680364,0.009048556777584881,0.009786271127492096,0.009544862379919113,1.30787992477417,0.8832
5,0.008496427036547051,0.008145147794624401,0.009168447967258941,0.00860334093281013,1.3073241710662842,0.8832
