Window_Index,Anomaly_Scenario,True_Root_Sensor,Predicted_Root_Sensor,Match,Original_Score,Clamped_Score,Threshold,Score_Drop_Percent,Faithfulness_Passed,Validity_Passed,Sparsity,Latency_ms
799,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.56473,0.02286,0.12567,99.11,True,True,5,4.71
800,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.59272,0.02245,0.12567,99.13,True,True,5,5.29
801,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.62179,0.0234,0.12567,99.11,True,True,5,4.58
802,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.65716,0.02449,0.12567,99.08,True,True,5,4.54
803,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.70728,0.02311,0.12567,99.15,True,True,5,4.68
804,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.73117,0.02511,0.12567,99.08,True,True,5,4.49
805,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.76865,0.0258,0.12567,99.07,True,True,5,4.59
806,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.78619,0.02218,0.12567,99.2,True,True,5,4.56
807,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.82885,0.02315,0.12567,99.18,True,True,5,5.24
808,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.86867,0.02268,0.12567,99.21,True,True,5,5.27
809,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.89186,0.02223,0.12567,99.23,True,True,5,5.14
810,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.9333,0.02409,0.12567,99.18,True,True,5,5.4
811,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.95551,0.02399,0.12567,99.19,True,True,5,5.33
812,A2_Lubrication_Leak,lubrication_flow,lubrication_flow,True,2.98104,0.02324,0.12567,99.22,True,True,5,4.63
